Volume(mm),Year,Station_Code,Data_Type,Date_x,Month,Measurer,Daily_max_vol,Day_max_vol,Rain_days,Monthly_total_vol,Annual_vol,Vol_fortnight1_x,Vol_fortnight2_x,Vol_week1_x,Vol_week2_x,Vol_week3_x,Vol_week4_x,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Date_y,River position (m),Monthly_total_vol ,Vol_fortnight1_y,Vol_fortnight2_y,Vf_mean,Vol_week1_y,Vol_week2_y,Vol_week3_y,Vol_week4_y,Vw_mean,Select
1334.4,1944.0,2951010.0,Raw,1944-07-01,July,Pluviometer,38.0,5.0,5.0,58.8,,50.4,8.4,39.5,10.9,8.4,0.0,0.0,0.0,0.0,0.0,38.0,1.5,0.0,0.0,8.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-06-01,June,Pluviometer,102.1,23.0,12.0,294.8,,2.0,292.8,2.0,0.0,169.3,123.5,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.2,1.6,5.1,40.7,9.1,102.1,40.3,82.1,1.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-05-01,May,Pluviometer,24.3,10.0,5.0,33.5,,26.0,7.5,1.2,24.8,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,24.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-04-01,April,Pluviometer,17.0,10.0,6.0,29.4,,17.6,11.8,0.6,17.0,9.0,2.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,7.6,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-03-01,March,Pluviometer,31.0,5.0,14.0,132.8,,54.6,78.2,50.7,3.9,66.5,11.7,0.0,17.5,2.2,0.0,31.0,0.0,0.0,0.0,0.0,0.4,3.5,0.0,0.0,0.0,0.0,0.0,13.0,31.0,3.6,3.5,6.1,8.0,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-02-01,February,Pluviometer,38.0,26.0,8.0,127.8,,21.2,106.6,21.2,0.0,59.3,47.3,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,10.3,0.0,0.0,0.0,22.0,8.0,0.0,0.0,0.8,38.0,0.5,0.0,0.0,,,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-01-01,January,Pluviometer,60.2,13.0,12.0,237.4,,173.9,63.5,90.8,83.1,0.0,63.5,54.4,0.0,0.0,8.0,14.4,0.0,10.0,4.0,20.0,1.7,1.2,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,10.4,0.0,0.0,28.0,0.0,0.0,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-12-01,December,Pluviometer,38.5,21.0,6.0,135.0,1350.4,41.6,93.4,41.6,0.0,38.5,54.9,0.0,0.0,0.0,7.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,31.6,0.0,20.1,3.2,0.0,0.0,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-11-01,November,Pluviometer,61.2,21.0,7.0,133.9,,52.0,81.9,46.0,6.0,61.2,20.7,5.6,0.0,0.0,0.0,15.1,6.7,0.0,18.6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,,,,,,,,,,,,,
1350.4,1945.0,2951010.0,Raw,1945-10-01,October,Pluviometer,15.1,27.0,5.0,49.1,,20.6,28.5,5.7,14.9,13.4,15.1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,13.3,1.6,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
