Station_Code;Data_Type;Date;Month;Measurer;Daily_max_vol;Day_max_vol;Rain_days;Monthly_total_vol;Annual_vol;Year;Vol_fortnight1;Vol_fortnight2;Vol_week1;Vol_week2;Vol_week3;Vol_week4;Day01;Day02;Day03;Day04;Day05;Day06;Day07;Day08;Day09;Day10;Day11;Day12;Day13;Day14;Day15;Day16;Day17;Day18;Day19;Day20;Day21;Day22;Day23;Day24;Day25;Day26;Day27;Day28;Day29;Day30;Day31
2951010;Raw;01/12/2018;December;Pluviometer;24.2;29;7;94.6;1798.1;2018;13.5;81.1;2.3;11.2;56.9;24.2;0;2.3;0;0;0;0;0;0;0;0;0;0;0;11.2;0;0;0;17.1;0;9.7;20;10.1;0;0;0;0;0;0;24.2;0;0
2951010;Raw;01/11/2018;November;Pluviometer;59.5;23;9;214.3;;;54.6;159.7;45.7;8.9;98.4;61.3;34.4;0;7.7;3.6;0;0;0;0;0;0;0;0;8.9;0;0;0;30.9;8;0;0;0;0;59.5;0;0;0;0;0;27.9;33.4;
2951010;Raw;01/10/2018;October;Pluviometer;120;31;6;182.1;;;57.4;124.7;54.1;3.3;0;124.7;6.1;0;0;45;0;0;0;3;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.7;0;0;0;0;120
2951010;Raw;01/09/2018;September;Pluviometer;124.6;2;9;281.4;;;195.9;85.5;128.5;67.4;12.1;73.4;0;124.6;3.9;0;0;0;0;0;0;0;0;0;0;0;67.4;2.4;0;9.7;0;0;0;0;0;44.1;9.8;12.2;0;0;0;7.3;
2951010;Raw;01/08/2018;August;Pluviometer;47.2;21;8;97.5;;;25.5;72;10;15.5;60.9;11.1;0;0;0;0;0;0;0;10;10.9;4.6;0;0;0;0;0;0;0;0;0;0;47.2;9.3;4.4;1;0;0;0;0;0;0;10.1
2951010;Raw;01/07/2018;July;Pluviometer;52.1;25;8;164.1;;;45.2;118.9;35.2;10;41.5;77.4;16.2;0;0;19;0;0;0;0;10;0;0;0;0;0;0;0.4;36.8;4.3;0;0;0;0;0;0;52.1;25.3;0;0;0;0;0
2951010;Raw;01/06/2018;June;Pluviometer;50;24;6;154.3;;;26.9;127.4;0;26.9;0;127.4;0;0;0;0;0;0;0;0;0;0;15.4;11.5;0;0;0;0;0;0;0;0;0;0;0;50;41.1;0;0;0;25.2;11.1;
2951010;Raw;01/05/2018;May;Pluviometer;50.9;19;5;101;;;16;85;0;16;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;4;0;0;50.9;30.1;0;0;0;0;0;0;0;0;0;0;0
2951010;Raw;01/04/2018;April;Pluviometer;34.1;7;4;80.4;;;52.3;28.1;34.1;18.2;28.1;0;0;0;0;0;0;0;34.1;0;0;11.4;0;0;0;0;6.8;0;0;0;0;0;0;28.1;0;0;0;0;0;0;0;0;
2951010;Raw;01/03/2018;March;Pluviometer;32.1;15;7;105.7;;;33.9;71.8;1.8;32.1;71.8;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;32.1;0;0;0;13.7;7.2;18.3;23.7;8.9;0;0;0;0;0;0;0;0
2951010;Raw;01/02/2018;February;Pluviometer;49;22;3;89.6;;;13.3;76.3;0;13.3;27.3;49;0;0;0;0;0;0;0;0;13.3;0;0;0;0;0;0;0;0;0;0;27.3;0;49;0;0;0;0;0;0;;;
2951010;Raw;01/01/2018;January;Pluviometer;73.6;2;10;233.1;;;80.9;152.2;73.6;7.3;106.6;45.6;0;73.6;0;0;0;0;0;0;0;0;0;2.7;0;4.6;0;0;24.3;3.3;0;0;47.1;31.9;0;0;23.9;8.4;0;0;13.3;0;0
2951010;Raw;01/12/2017;December;Pluviometer;95.7;31;1;95.7;1394.3;2017;0;95.7;0;0;0;95.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.7
2951010;Raw;01/11/2017;November;Pluviometer;53.3;15;8;205.6;;;144.8;60.8;34.1;110.7;8.2;52.6;0;0;19.3;10.2;4.6;0;0;0;0;33.2;24.2;0;0;0;53.3;0;0;0;0;0;0;0;8.2;52.6;0;0;0;0;0;0;
2951010;Raw;01/10/2017;October;Pluviometer;47.1;12;9;165;;;133.8;31.2;32.4;101.4;0;31.2;0;23.5;0;0;0;8.9;0;0;0;0;14.8;47.1;25.1;14.4;0;0;0;0;0;0;0;0;0;0;0;0;6;5.9;0;0;19.3
2951010;Raw;01/09/2017;September;Pluviometer;45.4;15;3;89;;;45.4;43.6;0;45.4;39.8;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.4;39.8;0;0;0;0;0;0;0;0;0;0;0;0;3.8;0;
2951010;Raw;01/08/2017;August;Pluviometer;60.7;13;5;117.2;;;88.4;28.8;0;88.4;28.6;0.2;0;0;0;0;0;0;0;0;18.4;0;9.3;0;60.7;0;0;0;0;0;0;28.6;0;0;0;0;0;0;0;0.2;0;0;0
2951010;Raw;01/07/2017;July;Pluviometer;0;;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2951010;Raw;01/06/2017;June;Pluviometer;12.2;1;4;29.7;;;29.7;0;29.7;0;0;0;12.2;0;0;5.7;9.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2951010;Raw;01/05/2017;May;Pluviometer;69.7;27;12;202.7;;;35.5;167.2;8.1;27.4;9.4;157.8;0;0;0;4.9;3.2;0;0;0;0;0;0.5;2.1;11.1;13.7;0;0;0;9.4;0;0;0;0;0;0;0;44.5;69.7;0;4.7;0.2;38.7
2951010;Raw;01/04/2017;April;Pluviometer;57.9;26;11;108.5;;;26.1;82.4;10;16.1;5.9;76.5;0;0;0;0;9.5;0.5;0;0;3.5;6.1;3.3;0;0;0;3.2;5.3;0.3;0;0;0.3;0;0;0;0;18.6;57.9;0;0;0;0;
2951010;Raw;01/03/2017;March;Pluviometer;73.2;13;4;140.3;;;114.4;25.9;41.2;73.2;23.2;2.7;0;0;0;0;0;0;41.2;0;0;0;0;0;73.2;0;0;0;23.2;0;0;0;0;0;0;2.7;0;0;0;0;0;0;0
2951010;Raw;01/02/2017;February;Pluviometer;17.5;13;6;55.3;;;55.3;0;27.9;27.4;0;0;0.4;12.2;0;11.8;3.5;0;0;0;0;0;0;0;17.5;9.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2951010;Raw;01/01/2017;January;Pluviometer;30.4;10;14;185.3;;;133;52.3;65.9;67.1;21.4;30.9;3.2;0;11.1;30;11.8;0;0;9.8;10.6;30.4;20;6.1;0;0;0;2.6;18.8;0;0;0;0;0;0;0;0;7.4;4.6;0;0;18.9;0
2951010;Raw;01/12/2016;December;Pluviometer;37.4;6;5;105.6;1018.9;2016;37.4;68.2;37.4;0;16.7;51.5;0;0;0;0;0;37.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.7;0;0;0;0;9.8;17.7;0;0;24
2951010;Raw;01/11/2016;November;Pluviometer;26.2;2;3;58.1;;;58.1;0;26.2;31.9;0;0;0;26.2;0;0;0;0;0;0;13.4;18.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2951010;Raw;01/10/2016;October;Pluviometer;107.8;18;11;322.6;;;20.9;301.7;0;20.9;235.2;66.5;0;0;0;0;0;0;0;0;0;0;0;0;20.9;0;0;5.6;35.4;107.8;43.3;10.3;32.8;0;0;0;10.8;42.5;8.5;4.7;0;0;0
2951010;Raw;01/09/2016;September;Pluviometer;28.4;6;4;54.2;;;54.2;0;39.5;14.7;0;0;0;0;0;11.1;0;28.4;0;0;0;0;0;0;5.7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2951010;Raw;01/08/2016;August;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/07/2016;July;Pluviometer;36;16;5;73.3;;;11.5;61.8;10.2;1.3;36;25.8;0;0;0;10.2;0;0;0;0;0;0;0;0;1.3;0;0;36;0;0;0;0;0;0;0;0;0;6.1;19.7;0;0;0;0
2951010;Raw;01/06/2016;June;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/05/2016;May;Pluviometer;7.6;7;2;9.7;;;9.7;0;7.6;2.1;0;0;0;0;0;0;0;0;7.6;0;0;0;0;0;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2951010;Raw;01/04/2016;April;Pluviometer;42.1;24;11;232.9;;;76.9;156;26.2;50.7;26;130;0;2.6;0;0;0;0;23.6;0;29.8;0.3;12.7;0;0;7.9;0;0;0;0;0;0;0;0;26;42.1;41.3;26.3;20.3;0;0;0;
2951010;Raw;01/03/2016;March;Pluviometer;62.3;29;2;64.8;;;0;64.8;0;0;2.5;62.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;62.3;0;0
2951010;Raw;01/02/2016;February;Pluviometer;2.6;26;3;3.8;;;1.2;2.6;0;1.2;0;2.6;0;0;0;0;0;0;0;0;0;1.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;0;0;0;;
2951010;Raw;01/01/2016;January;Pluviometer;93.9;31;1;93.9;;;0;93.9;0;0;0;93.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.9
2951010;Raw;01/12/2015;December;Pluviometer;61.8;10;7;174.4;1817.8;2015;102.7;71.7;40.9;61.8;15.1;56.6;0;23.6;17.3;0;0;0;0;0;0;61.8;0;0;0;0;0;0;0;0;0;0;0;10.6;4.5;3;53.6;0;0;0;0;0;0
2951010;Raw;01/11/2015;November;Pluviometer;41.8;17;12;186.8;;;102.8;84;49.4;53.4;47.7;36.3;7.9;0;0;5.4;29.8;6.3;0;0;15.3;0;27.4;9.2;1.5;0;0;0;41.8;0.2;0;5.7;0;0;0;0;0;36.3;0;0;0;0;
2951010;Raw;01/10/2015;October;Pluviometer;81;8;14;293.5;;;196.6;96.9;107.1;89.5;96.6;0.3;0;0;23.8;0;0;0;2.3;81;52.1;24.9;9.3;0;2.3;0;0.9;3.5;0;0.3;0;0;49.2;43.5;0.1;0;0;0.3;0;0;0;0;0
2951010;Raw;01/09/2015;September;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/08/2015;August;Pluviometer;8.9;5;3;16.4;;;8.9;7.5;8.9;0;7.5;0;0;0;0;0;8.9;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3;2.2;0;0;0;0;0;0;0;0;0;0;0
2951010;Raw;01/07/2015;July;Pluviometer;80.4;13;12;269.8;;;189.7;80.1;13.8;175.9;75.8;4.3;0;0.6;0.7;0;0;0;0;12.5;25.7;0;0;0;80.4;58.5;11.3;11;10;1.4;53.4;0;0;0;0;4.3;0;0;0;0;0;0;0
2951010;Raw;01/06/2015;June;Pluviometer;111.3;18;6;241.5;;;39.9;201.6;0;39.9;172.8;28.8;0;0;0;0;0;0;0;0;0;0;15.3;0;24.6;0;0;0;0;111.3;0;0;0;0;61.5;0;3.5;25.3;0;0;0;0;
2951010;Raw;01/05/2015;May;Pluviometer;25.5;27;5;65.8;;;29.2;36.6;25.6;3.6;0;36.6;0;0;2.7;22.9;0;0;0;0;0;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;11.1;0;0;25.5;0;0;0;0
2951010;Raw;01/04/2015;April;Pluviometer;44.4;21;7;156.7;;;64.2;92.5;60.8;3.4;92.5;0;0;0;0;0;29.8;31;0;0;0;0;0;0;0;0;3.4;18.3;0;0;0;29.5;44.4;0.3;0;0;0;0;0;0;0;0;
2951010;Raw;01/03/2015;March;Pluviometer;11.8;5;4;26.4;;;20.8;5.6;11.8;9;0;5.6;0;0;0;0;11.8;0;0;0;0;6.5;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6;0;0;0;0
2951010;Raw;01/02/2015;February;Pluviometer;24.5;23;11;118.4;;;27.1;91.3;0;27.1;15.5;75.8;0;0;0;0;0;0;0;0;0;3.8;5.5;17.8;0;0;0;0;0;0;1.9;10.8;2.8;24.3;24.5;0;0;24.1;2.1;0.8;;;
2951010;Raw;01/01/2015;January;Pluviometer;57.6;2;18;268.1;;;164.2;103.9;74;90.2;84.7;19.2;0;57.6;0;0;0;0;0;16.4;25.3;14.8;8.3;8.4;0;9.4;24;4.6;1.4;46.4;1.4;0.7;29.9;0.3;0;0;0;1.4;0;1.3;16.5;0;0
2951010;Raw;01/12/2014;December;Pluviometer;43.9;22;14;147.7;2020.9;2014;53.3;94.4;11.8;41.5;78.1;16.3;1.8;5.8;3.2;1;0;0;0;0;3.9;1.7;3.4;20.9;0;0;11.6;0;4;1.6;0;0;28.6;43.9;0;0;0;16.3;0;0;0;0;0
2951010;Raw;01/11/2014;November;Pluviometer;16.5;21;10;78.7;;;49.7;29;39.2;10.5;16.5;12.5;0;1.5;2.1;15.3;3.7;0;14.4;2.2;0;0;0;0;10.5;0;0;0;0;0;0;0;16.5;0;0;0;3.9;0;0;8.6;0;0;
2951010;Raw;01/10/2014;October;Pluviometer;36.4;12;10;186.3;;;65.4;120.9;20;45.4;100.9;20;17.7;0;0;0;0;0;2.3;0;0;0;9;36.4;0;0;0;0;33.9;34.4;32.5;0.1;0;0;0;0;0;0;0;0;0;14.3;5.7
2951010;Raw;01/09/2014;September;Pluviometer;69.4;11;11;276.3;;;170.5;105.8;68.8;101.7;2.8;103;0;0;30.3;0.2;0;0;38.3;0;0;0;69.4;18.7;0;0;13.6;0;0;0;0;2.8;0;0;0;13.8;0;56.5;0;0;2.3;30.4;
